product_id,title,url,brand,price_current,price_regular,sale_price,discount_percent,discount_amount,rating,rating_count,bought_last_month,colors,color_selected,category_breadcrumb,description,material_text,highlights,feature_bullets,images,dimensions,dimensions_table,specifications,is_sale,is_clearance,is_new,best_seller,seller,fulfillment_info,in_stock,scraped_at
94412115,Champion Harbor Tote Bag,https://www.target.com/p/champion-harbor-tote-bag/-/A-94412115?preselect=94150248#lnk=sametab,Champion,16.99,0.0,0.0,0,0.0,4.7,91,,|||||,,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Totes",Fit & styleDouble handleInterior zip pocketKey clipInterior mesh pocket with zipperInterior water bottle pocketEmbroidered logo,,Double handle|Interior zip pocket|Key clip|Interior mesh pocket with zipper|Interior water bottle pocket|Embroidered logo,Double handle|Interior zip pocket|Key clip|Interior mesh pocket with zipper|Interior water bottle pocket|Embroidered logo,https://target.scene7.com/is/image/Target/GUEST_d32a4d82-9c78-4179-8a66-778e990691ca?wid=800&hei=800&qlt=80&fmt=pjpeg|https://target.scene7.com/is/image/Target/GUEST_37617712-6e87-450b-a175-c9333f0ad909?wid=800&hei=800&qlt=80&fmt=pjpeg|https://target.scene7.com/is/image/Target/GUEST_97830b17-76cf-4443-a5a7-de90549f1a02?wid=800&hei=800&qlt=80&fmt=pjpeg|https://target.scene7.com/is/image/Target/GUEST_05979035-5a10-414d-ad3a-4b92ed378306?qlt=65&fmt=webp&hei=40&wid=40&fit=crop,{},{},{},False,True,False,False,,,True,2026-02-20T15:41:02.761237
1006075848,Everyday Zip Tote Handbag – Hynes Eagle,https://www.target.com/p/hynes-eagle-20l-puffy-tote-bag-lightweight-water-resistant-work-gym-bag-with-laptop-sleeve-luggage-strap-smart-pockets/-/A-1006075848?preselect=1006075852#lnk=sametab,Hynes Eagle,36.99,0.0,0.0,0,0.0,4.7,15,,15.7 x 5.9 x 11.8 in,,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags","Fit & styleSecure 20L zip main compartmentPadded laptop sleeve fits devices up to 15.6""Rear luggage strap slides over rolling luggageHandbag + tote hybrid design for versatile daily useInterior zip + slip pocket for everyday itemsExterior quick-access pockets for phone and bottlesSoft handles for all-day carrying comfortTwo side pockets for up to 32 oz bottleWater-repellent nylon exteriorMade for work, gym, travel, and everyday errands",,"Secure 20L zip main compartment|Padded laptop sleeve fits devices up to 15.6""|Rear luggage strap slides over rolling luggage|Handbag + tote hybrid design for versatile daily use|Interior zip + slip pocket for everyday items|Exterior quick-access pockets for phone and bottles|Soft handles for all-day carrying comfort|Two side pockets for up to 32 oz bottle|Water-repellent nylon exterior|Made for work, gym, travel, and everyday errands","Secure 20L zip main compartment|Padded laptop sleeve fits devices up to 15.6""|Rear luggage strap slides over rolling luggage|Handbag + tote hybrid design for versatile daily use|Interior zip + slip pocket for everyday items|Exterior quick-access pockets for phone and bottles|Soft handles for all-day carrying comfort|Two side pockets for up to 32 oz bottle|Water-repellent nylon exterior|Made for work, gym, travel, and everyday errands",https://target.scene7.com/is/image/Target/GUEST_6548fe6e-2040-4ef7-bfc3-c0a1d822adad?wid=800&hei=800&qlt=80&fmt=pjpeg|https://target.scene7.com/is/image/Target/GUEST_05693398-2db6-4625-8f43-326d9e967e76?qlt=65&fmt=webp&hei=377&wid=670&fit=crop%2C1|https://target.scene7.com/is/image/Target/GUEST_41aacfe6-8743-48db-8a10-1234f29e5e84?wid=800&hei=800&qlt=80&fmt=pjpeg|https://target.scene7.com/is/image/Target/GUEST_f4c8192d-eb31-40f1-891b-2c65f76be533?wid=800&hei=800&qlt=80&fmt=pjpeg|https://target.scene7.com/is/image/Target/GUEST_4221cdda-80ee-4310-9880-0abe4d355085?wid=800&hei=800&qlt=80&fmt=pjpeg|https://target.scene7.com/is/image/Target/GUEST_a16cf154-027d-47b5-a75a-6df9d23746a3?wid=800&hei=800&qlt=80&fmt=pjpeg,{},{},{},False,False,False,False,Sold & shipped byHynes Eagle,,True,2026-02-20T15:41:05.361557
94935160,Champion Handbag Unstructured Shopper Tote Bag,https://www.target.com/p/champion-handbag-unstructured-shopper-tote-bag/-/A-94935160?preselect=94835137#lnk=sametab,Champion,19.99,0.0,0.0,0,0.0,0.0,1,,||,,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Totes",,,,,https://target.scene7.com/is/image/Target/GUEST_038868f8-d22d-4646-bc8f-30fe665567be?wid=800&hei=800&qlt=80&fmt=pjpeg|https://target.scene7.com/is/image/Target/GUEST_1ddf5902-23c1-4365-8b29-530144e33e74?wid=800&hei=800&qlt=80&fmt=pjpeg|https://target.scene7.com/is/image/Target/GUEST_71a80539-917a-466c-9525-d76447595137?wid=800&hei=800&qlt=80&fmt=pjpeg|https://target.scene7.com/is/image/Target/GUEST_1ed81ee9-cc33-4e5b-841c-56bcdbb97131?wid=800&hei=800&qlt=80&fmt=pjpeg,{},{},{},False,False,True,False,,,True,2026-02-20T15:41:09.066997
